Time,Data
10:30:52.333,COS,18.564
10:30:52.431,SIN,98.2618
10:30:52.440,COS,-1.32767
10:30:52.541,SIN,106.991
10:30:52.551,COS,-21.1664
10:30:52.650,SIN,101.734
10:30:52.660,COS,-40.1613
10:30:52.759,SIN,95.581
10:30:52.769,COS,-57.555
10:30:52.867,SIN,81.7766
10:30:52.876,COS,-72.6543
10:30:52.977,SIN,73.7121
10:30:52.986,COS,-84.857
10:30:53.083,SIN,61.9083
10:30:53.091,COS,-93.6768
10:30:53.192,SIN,38.9951
10:30:53.201,COS,-98.7619
10:30:53.302,SIN,21.6869
10:30:53.311,COS,-99.9098
10:30:53.414,SIN,-4.2468
10:30:53.427,COS,-97.0745
10:30:53.521,SIN,-20.0112
10:30:53.532,COS,-90.3692
10:30:53.632,SIN,-40.8183
10:30:53.641,COS,-80.0612
10:30:53.739,SIN,-55.9183
10:30:53.747,COS,-66.5613
10:30:53.848,SIN,-66.6297
10:30:53.858,COS,-50.4079
10:30:53.974,SIN,-84.3657
10:30:53.985,COS,-32.2449
10:30:54.067,SIN,-86.6587
10:30:54.076,COS,-12.7964
10:30:54.179,SIN,-92.1779
10:30:54.187,COS,7.16231
10:30:54.300,SIN,-93.7432
10:30:54.309,COS,26.8355
10:30:54.397,SIN,-89.332
10:30:54.409,COS,45.4387
10:30:54.515,SIN,-89.0804
10:30:54.525,COS,62.2305
10:30:54.616,SIN,-73.2775
10:30:54.627,COS,76.5414
10:30:54.730,SIN,-63.3538
10:30:54.742,COS,87.8008
10:30:54.834,SIN,-42.8646
10:30:54.845,COS,95.5599
10:30:54.943,SIN,-25.4672
10:30:54.954,COS,99.5092
10:30:55.053,SIN,-1.89497
10:30:55.062,COS,99.4915
10:30:55.161,SIN,16.0717
10:30:55.170,COS,95.5074
10:30:55.271,SIN,31.6369
10:30:55.280,COS,87.7156
10:30:55.396,SIN,54.0205
10:30:55.405,COS,76.427
10:30:55.493,SIN,65.4897
10:30:55.501,COS,62.0914
10:30:55.604,SIN,87.3879
10:30:55.613,COS,45.2804
10:30:55.716,SIN,91.161
10:30:55.724,COS,26.6643
10:30:55.826,SIN,100.38
10:30:55.836,COS,6.98512
10:30:55.933,SIN,105.756
10:30:55.942,COS,-12.9725
10:30:56.043,SIN,99.155
10:30:56.054,COS,-32.413
10:30:56.150,SIN,94.6013
10:30:56.159,COS,-50.5613
10:30:56.260,SIN,89.2761
10:30:56.269,COS,-66.6938
10:30:56.368,SIN,83.5113
10:30:56.377,COS,-80.1675
10:30:56.474,SIN,64.776
10:30:56.483,COS,-90.4451
10:30:56.584,SIN,50.6577
10:30:56.594,COS,-97.117
10:30:56.713,SIN,27.8387
10:30:56.722,COS,-99.9172
10:30:56.801,SIN,7.06933
10:30:56.812,COS,-98.7339
10:30:56.922,SIN,-8.86227
10:30:56.932,COS,-93.6145
10:30:57.031,SIN,-27.1615
10:30:57.050,COS,-84.7629
10:30:57.141,SIN,-53.0589
10:30:57.149,COS,-72.5321
10:30:57.248,SIN,-64.8411
10:30:57.257,COS,-57.4097
10:30:57.349,SIN,-73.8787
10:30:57.362,COS,-39.9985
10:30:57.463,SIN,-89.6522
10:30:57.473,COS,-20.9928
10:30:57.567,SIN,-91.7717
10:30:57.582,COS,-1.15006
10:30:57.678,SIN,-93.9934
10:30:57.687,COS,18.7385
10:30:57.787,SIN,-95.2287
10:30:57.797,COS,37.88
10:30:57.897,SIN,-87.5479
10:30:57.908,COS,55.5113
10:30:58.012,SIN,-82.1775
10:30:58.021,COS,70.9296
10:30:58.127,SIN,-66.4911
10:30:58.138,COS,83.5202
10:30:58.239,SIN,-49.9944
10:30:58.249,COS,92.781
10:30:58.342,SIN,-35.3053
10:30:58.351,COS,98.343
10:30:58.454,SIN,-17.1289
10:30:58.470,COS,99.9843
10:30:58.562,SIN,3.77019
10:30:58.575,COS,97.6396
10:30:58.668,SIN,26.5987
10:30:58.677,COS,91.4023
10:30:58.777,SIN,42.5662
10:30:58.795,COS,81.5211
10:30:58.887,SIN,63.9164
10:30:58.897,COS,68.3899
10:30:58.997,SIN,76.9577
10:30:59.011,COS,52.5322
10:30:59.103,SIN,94.0904
10:30:59.120,COS,34.5802
10:30:59.209,SIN,101.831
10:30:59.219,COS,15.2496
10:30:59.317,SIN,102.83
10:30:59.328,COS,-4.68893
10:30:59.440,SIN,99.89
10:30:59.452,COS,-24.4405
10:30:59.547,SIN,99.9673
10:30:59.556,COS,-43.2178
10:30:59.656,SIN,93.1788
10:30:59.665,COS,-60.2721
10:30:59.765,SIN,87.7952
10:30:59.773,COS,-74.9235
10:30:59.874,SIN,68.2304
10:30:59.883,COS,-86.588
10:30:59.979,SIN,53.0252
10:30:59.990,COS,-94.8005
10:31:00.093,SIN,40.8257
10:31:00.102,COS,-99.2335
10:31:00.197,SIN,17.3573
10:31:00.207,COS,-99.7105
10:31:00.307,SIN,0.396326
10:31:00.323,COS,-96.2123
10:31:00.416,SIN,-24.2615
10:31:00.426,COS,-88.8784
10:31:00.524,SIN,-40.8325
10:31:00.534,COS,-78.0013
10:31:00.631,SIN,-53.5764
10:31:00.642,COS,-64.0144
10:31:00.738,SIN,-67.8255
10:31:00.747,COS,-47.4755
10:31:00.854,SIN,-82.0118
10:31:00.866,COS,-29.044
10:31:00.974,SIN,-94.6893
10:31:00.984,COS,-9.45447
10:31:01.072,SIN,-92.5521
10:31:01.086,COS,10.5119
10:31:01.191,SIN,-90.446
10:31:01.201,COS,30.0593
10:31:01.302,SIN,-90.3753
10:31:01.315,COS,48.4082
10:31:01.407,SIN,-80.5023
10:31:01.417,COS,64.8273
10:31:01.514,SIN,-70.1408
10:31:01.524,COS,78.6619
10:31:01.621,SIN,-53.7439
10:31:01.631,COS,89.3605
10:31:01.734,SIN,-37.8854
10:31:01.745,COS,96.4966
10:31:01.841,SIN,-26.2375
10:31:01.851,COS,99.7857
10:31:01.950,SIN,-1.54357
10:31:01.960,COS,99.0966
10:31:02.057,SIN,14.4112
10:31:02.068,COS,94.4569
10:31:02.165,SIN,37.8313
10:31:02.173,COS,86.0515
10:31:02.275,SIN,51.9426
10:31:02.287,COS,74.2154
10:31:02.390,SIN,67.0229
10:31:02.401,COS,59.4207
10:31:02.492,SIN,83.4312
10:31:02.507,COS,42.257
10:31:02.599,SIN,98.633
10:31:02.611,COS,23.4086
10:31:02.709,SIN,101.222
10:31:02.724,COS,3.62708
10:31:02.818,SIN,106.934
10:31:02.834,COS,-16.2991
10:31:02.940,SIN,98.6628
10:31:02.948,COS,-35.5754
10:31:03.041,SIN,94.4579
10:31:03.055,COS,-53.4335
10:31:03.146,SIN,91.5273
10:31:03.157,COS,-69.1614
10:31:03.256,SIN,76.2267
10:31:03.265,COS,-82.132
10:31:03.364,SIN,59.0468
10:31:03.374,COS,-91.8283
10:31:03.484,SIN,42.5925
10:31:03.494,COS,-97.8636
10:31:03.592,SIN,29.5598
10:31:03.610,COS,-99.9975
10:31:03.692,SIN,0.707505
10:31:03.701,COS,-98.1448
10:31:03.802,SIN,-13.173
10:31:03.811,COS,-92.3793
10:31:03.915,SIN,-34.2892
10:31:03.925,COS,-82.931
10:31:04.023,SIN,-47.8789
10:31:04.034,COS,-70.1765
10:31:04.131,SIN,-66.2409
10:31:04.145,COS,-54.6242
10:31:04.252,SIN,-83.7627
10:31:04.262,COS,-36.8943
10:31:04.353,SIN,-91.9452
10:31:04.365,COS,-17.6935
10:31:04.459,SIN,-91.4223
10:31:04.469,COS,2.21268
10:31:04.577,SIN,-97.9755
10:31:04.586,COS,22.0306
10:31:04.683,SIN,-93.5431
10:31:04.692,COS,40.9703
10:31:04.785,SIN,-87.2219
10:31:04.795,COS,58.2766
10:31:04.897,SIN,-81.264
10:31:04.909,COS,73.2596
10:31:05.010,SIN,-60.0663
10:31:05.021,COS,85.322
10:31:05.120,SIN,-52.1551
10:31:05.131,COS,93.9829
10:31:05.228,SIN,-25.1646
10:31:05.237,COS,98.8969
10:31:05.338,SIN,-8.81207
10:31:05.351,COS,99.8683
10:31:05.447,SIN,5.13097
10:31:05.462,COS,96.8582
